Timestamp,Power (W)
01:00:00.000,18.7
01:00:05.000,20.3
01:00:10.000,19.0
01:00:15.000,20.9
01:00:20.000,19.0
01:00:25.000,18.4
01:00:30.000,18.4
01:00:35.000,19.0
01:00:40.000,19.0
01:00:45.000,18.7
01:00:50.000,18.7
01:00:55.000,18.7
01:01:00.000,18.7
01:01:05.000,20.3
01:01:10.000,19.3
01:01:15.000,19.3
01:01:20.000,18.4
01:01:25.000,18.4
01:01:30.000,19.0
01:01:35.000,19.3
01:01:40.000,19.0
01:01:45.000,18.4
01:01:50.000,18.7
01:01:55.000,18.7
01:02:00.000,19.0
01:02:05.000,18.7
01:02:10.000,19.3
01:02:15.000,19.6
01:02:20.000,18.7
01:02:25.000,18.4
01:02:30.000,19.0
01:02:35.000,18.7
01:02:40.000,19.0
01:02:45.000,20.0
01:02:50.000,18.7
01:02:55.000,19.3
01:03:00.000,20.6
01:03:05.000,40.6
01:03:10.000,20.6
01:03:15.000,20.9
01:03:20.000,18.4
01:03:25.000,17.8
01:03:30.000,16.9
01:03:35.000,17.2
01:03:40.000,16.9
01:03:45.000,17.2
01:03:50.000,17.8
01:03:55.000,17.2
01:04:00.000,16.6
01:04:05.000,16.9
01:04:10.000,17.8
01:04:15.000,19.0
01:04:20.000,17.2
01:04:25.000,16.9
01:04:30.000,16.0
01:04:35.000,16.6
01:04:40.000,16.6
01:04:45.000,18.1
01:04:50.000,17.2
01:04:55.000,16.9
01:05:00.000,20.0
01:05:05.000,24.5
01:05:10.000,59.6
01:05:15.000,60.6
01:05:20.000,61.2
01:05:25.000,61.5
01:05:30.000,61.8
01:05:35.000,62.1
01:05:40.000,62.7
01:05:45.000,63.0
01:05:50.000,63.3
01:05:55.000,63.6
01:06:00.000,63.9
01:06:05.000,64.5
01:06:10.000,64.2
01:06:15.000,64.5
01:06:20.000,64.8
01:06:25.000,64.2
01:06:30.000,64.8
01:06:35.000,64.2
01:06:40.000,64.8
01:06:45.000,64.8
01:06:50.000,65.1
01:06:55.000,65.1
01:07:00.000,64.8
01:07:05.000,65.1
01:07:10.000,64.8
01:07:15.000,64.8
01:07:20.000,64.8
01:07:25.000,65.1
01:07:30.000,65.1
01:07:35.000,64.8
01:07:40.000,64.8
01:07:45.000,65.1
01:07:50.000,65.4
01:07:55.000,65.1
01:08:00.000,65.4
01:08:05.000,65.1
01:08:10.000,64.8
01:08:15.000,64.5
01:08:20.000,65.1
01:08:25.000,65.1
01:08:30.000,65.1
01:08:35.000,64.8
01:08:40.000,64.8
01:08:45.000,65.4
01:08:50.000,64.8
01:08:55.000,65.4
01:09:00.000,65.1
01:09:05.000,65.1
01:09:10.000,65.1
01:09:15.000,64.8
01:09:20.000,65.4
01:09:25.000,65.4
01:09:30.000,64.8
01:09:35.000,64.8
01:09:40.000,64.8
01:09:45.000,65.1
01:09:50.000,64.8
01:09:55.000,65.4
01:10:00.000,65.1
01:10:05.000,30.3
01:10:10.000,19.6
01:10:15.000,20.0
01:10:20.000,19.6
01:10:25.000,18.7
01:10:30.000,19.0
01:10:35.000,18.4
01:10:40.000,19.0
01:10:45.000,17.5
01:10:50.000,18.1
01:10:55.000,18.4
01:11:00.000,18.4
01:11:05.000,17.2
01:11:10.000,16.9
01:11:15.000,17.5
01:11:20.000,17.8
01:11:25.000,19.0
01:11:30.000,19.3
01:11:35.000,16.9
01:11:40.000,17.5
01:11:45.000,18.1
01:11:50.000,17.5
01:11:55.000,18.4
01:12:00.000,16.9
01:12:05.000,17.5
01:12:10.000,17.8
01:12:15.000,18.7
01:12:20.000,17.2
01:12:25.000,17.2
01:12:30.000,16.6
01:12:35.000,17.5
01:12:40.000,18.1
01:12:45.000,17.5
01:12:50.000,17.8
01:12:55.000,16.9
01:13:00.000,18.1
01:13:05.000,18.1
01:13:10.000,17.5
01:13:15.000,20.0
01:13:20.000,17.8
01:13:25.000,18.4
01:13:30.000,18.7
01:13:35.000,17.5
01:13:40.000,17.5
01:13:45.000,17.2
01:13:50.000,17.5
01:13:55.000,18.1
01:14:00.000,17.2
01:14:05.000,17.8
01:14:10.000,16.6
01:14:15.000,17.5
01:14:20.000,17.8
01:14:25.000,18.1
01:14:30.000,16.9
01:14:35.000,16.6
01:14:40.000,17.5
01:14:45.000,18.1
01:14:50.000,16.9
01:14:55.000,18.1
01:15:00.000,17.2
